Rank_1to2155	Hindcast_stn	Retreat	Kc_TWL	Kc_EF	Kc_Tren	Kc_Hack	Kz_Zhang
1	239	0.047929	0.068268	0.1	0.05	0.005	0.005
2	240	0.047929	0.068268	0.1	0.05	0.005	0.005
3	241	0.047929	0.068268	0.1	0.05	0.005	0.005
4	242	0.047929	0.068268	0.1	0.05	0.005	0.005
5	243	0.047929	0.068268	0.1	0.05	0.005	0.005
6	244	0.047929	0.068268	0.1	0.05	0.005	0.005
7	245	0.047929	0.068268	0.1	0.05	0.005	0.005
8	246	0.047929	0.068268	0.1	0.05	0.005	0.005
9	247	0.047929	0.068268	0.1	0.05	0.005	0.005
10	248	0.047929	0.068268	0.1	0.05	0.005	0.005
11	249	0.047929	0.068268	0.1	0.05	0.005	0.005
12	250	0.047929	0.068268	0.1	0.05	0.005	0.005
13	251	0.057019	0.068268	0.1	0.05	0.005	0.005
14	252	0.057019	0.068268	0.1	0.05	0.005	0.005
15	253	0.069836	0.068268	0.1	0.05	0.005	0.005
16	254	0.045815	0.068268	0.1	0.05	0.005	0.005
17	255	0.042387	0.068268	0.1	0.05	0.005	0.005
18	256	0.0631	0.068268	0.1	0.05	0.005	0.005
19	257	0.061165	0.068268	0.1	0.05	0.005	0.005
20	258	0.047195	0.068268	0.1	0.05	0.005	0.005
21	259	0.092155	0.068268	0.1	0.05	0.005	0.005
22	260	0.076043	0.068268	0.1	0.05	0.005	0.005
23	261	0.10702	0.068268	0.1	0.05	0.005	0.005
24	262	0.093882	0.068268	0.1	0.05	0.005	0.005
25	263	0.082993	0.068268	0.1	0.05	0.005	0.005
26	264	0.12136	0.068268	0.1	0.05	0.005	0.005
27	265	0.15411	0.068268	0.1	0.05	0.005	0.005
28	266	0.15412	0.068268	0.1	0.05	0.005	0.005
29	267	0.15412	0.068268	0.1	0.05	0.005	0.005
30	268	0.31042	0.068268	0.1	0.05	0.005	0.005
31	269	0.31042	0.068268	0.1	0.05	0.005	0.005
32	270	0.2574	0.068268	0.1	0.05	0.005	0.005
33	271	0.16969	0.068268	0.1	0.05	0.005	0.005
34	272	0.070739	0.068268	0.1	0.05	0.005	0.005
35	273	0.033323	0.068268	0.1	0.05	0.005	0.005
36	274	0.040898	0.068268	0.1	0.05	0.005	0.005
37	275	0.11899	0.068268	0.1	0.05	0.005	0.005
38	276	0.15808	0.068268	0.1	0.05	0.005	0.005
39	277	0.1754	0.068268	0.1	0.05	0.005	0.005
40	278	0.080639	0.068268	0.1	0.05	0.005	0.005
41	279	0.097727	0.068268	0.1	0.05	0.005	0.005
42	280	0.11054	0.068268	0.1	0.05	0.005	0.005
43	281	0.12837	0.068268	0.1	0.05	0.005	0.005
44	282	0.20395	0.068268	0.1	0.05	0.005	0.005
45	283	0.16232	0.068268	0.1	0.05	0.005	0.005
46	284	0.14301	0.068268	0.1	0.05	0.005	0.005
47	285	0.13846	0.068268	0.1	0.05	0.005	0.005
48	286	0.12567	0.068268	0.1	0.05	0.005	0.005
49	287	0.039336	0.068268	0.1	0.05	0.005	0.005
50	288	0.039336	0.068268	0.1	0.05	0.005	0.005
51	289	0.20456	0.068268	0.1	0.05	0.005	0.005
52	290	0.18318	0.068268	0.1	0.05	0.005	0.005
53	291	0.1601	0.068268	0.1	0.05	0.005	0.005
54	292	0.093542	0.068268	0.1	0.05	0.005	0.005
55	293	0.093542	0.068268	0.1	0.05	0.005	0.005
56	294	0.093542	0.068268	0.1	0.05	0.005	0.005
57	295	0.87626	0.068268	0.1	0.05	0.005	0.005
58	296	0.87626	0.068268	0.1	0.05	0.005	0.005
59	297	0.58432	0.068268	0.1	0.05	0.005	0.005
60	298	0.13628	0.068268	0.1	0.05	0.005	0.005
61	299	0.20825	0.068268	0.1	0.05	0.005	0.005
62	300	0.22619	0.068268	0.1	0.05	0.005	0.005
63	301	0.2748	0.068268	0.1	0.05	0.005	0.005
64	302	0.18325	0.068268	0.1	0.05	0.005	0.005
65	303	0.22433	0.068268	0.1	0.05	0.005	0.005
66	304	0.23368	0.068268	0.1	0.05	0.005	0.005
67	305	0.23368	0.068268	0.1	0.05	0.005	0.005
68	306	0.64133	0.068268	0.1	0.05	0.005	0.005
69	307	0.4741	0.068268	0.1	0.05	0.005	0.005
70	308	0.075135	0.068268	0.1	0.05	0.005	0.005
71	309	0.075135	0.068268	0.1	0.05	0.005	0.005
72	310	0.051835	0.068268	0.1	0.05	0.005	0.005
73	311	0.12284	0.068268	0.1	0.05	0.005	0.005
74	312	0.17748	0.068268	0.1	0.05	0.005	0.005
75	313	0.26874	0.068268	0.1	0.05	0.005	0.005
76	314	0.27284	0.068268	0.1	0.05	0.005	0.005
77	315	0.20479	0.068268	0.1	0.05	0.005	0.005
78	316	0.20479	0.068268	0.1	0.05	0.005	0.005
79	317	0.20479	0.068268	0.1	0.05	0.005	0.005
80	318	0.20479	0.068268	0.1	0.05	0.005	0.005
81	319	0.20479	0.068268	0.1	0.05	0.005	0.005
82	320	0.20479	0.068268	0.1	0.05	0.005	0.005
83	321	0.20479	0.068268	0.1	0.05	0.005	0.005
84	322	0.20479	0.068268	0.1	0.05	0.005	0.005
85	323	0.20479	0.068268	0.1	0.05	0.005	0.005
86	324	0.085531	0.068268	0.1	0.05	0.005	0.005
87	325	0.085531	0.068268	0.1	0.05	0.005	0.005
88	326	0.085531	0.068268	0.1	0.05	0.005	0.005
89	327	0.085531	0.068268	0.1	0.05	0.005	0.005
90	328	0.085531	0.068268	0.1	0.05	0.005	0.005
91	329	0.085531	0.068268	0.1	0.05	0.005	0.005
92	330	0.085531	0.068268	0.1	0.05	0.005	0.005
93	331	0.085531	0.068268	0.1	0.05	0.005	0.005
94	332	0.12769	0.068268	0.1	0.05	0.005	0.005
95	333	0.18535	0.068268	0.1	0.05	0.005	0.005
96	334	0.14824	0.068268	0.1	0.05	0.005	0.005
97	335	0.14824	0.068268	0.1	0.05	0.005	0.005
98	336	0.14824	0.068268	0.1	0.05	0.005	0.005
99	337	0.018412	0.068268	0.1	0.05	0.005	0.005
